0,img,seg
1,0001,0001
2,0002,0002
3,0003,0003
4,0004,0004
5,0005,0005
6,0006,0006
7,0007,0007
8,0008,0008
9,0009,0009
10,0010,0010
11,0011,0011
12,0012,0012
13,0013,0013
14,0014,0014
15,0015,0015
16,0016,0016
17,0017,0017
18,0018,0018
19,0019,0019
20,0020,0020
21,0021,0021
22,0022,0022
23,0023,0023
24,0024,0024
25,0025,0025
26,0026,0026
27,0027,0027
28,0028,0028
29,0029,0029
30,0030,0030
31,0031,0031
32,0032,0032
33,0033,0033
34,0034,0034
35,0035,0035
36,0036,0036
37,0037,0037
38,0038,0038
39,0039,0039
40,0040,0040
41,0041,0041
42,0042,0042
43,0043,0043
44,0044,0044
45,0045,0045
46,0046,0046
47,0047,0047
48,0048,0048
49,0049,0049
50,0050,0050
51,0051,0051
52,0052,0052
53,0053,0053
54,0054,0054
55,0055,0055
56,0056,0056
57,0057,0057
58,0058,0058
59,0059,0059
60,0060,0060
61,0061,0061
62,0062,0062
63,0063,0063
64,0064,0064
65,0065,0065
66,0066,0066
67,0067,0067
68,0068,0068
69,0069,0069
70,0070,0070
71,0071,0071
72,0072,0072
73,0073,0073
74,0074,0074
75,0075,0075
76,0076,0076
77,0077,0077
78,0078,0078
79,0079,0079
80,0080,0080
81,0081,0081
82,0082,0082
83,0083,0083
84,0084,0084
85,0085,0085
86,0086,0086
87,0087,0087
88,0088,0088
89,0089,0089
90,0090,0090
